,title,year,kind,genre,rating,vote,country,language,cast,director,writer,runtime
10,FernGully 2: The Magical Rescue,1998.0,video movie,"['Animation', 'Adventure', 'Family', 'Fantasy']",4.6,1484.0,['United States'],['English'],"['James S. Baker', 'Matt K. Miller', 'Erik Bergmann', 'Connie Champagne', 'Holly Conner', 'Laura Erlich', 'Harry Joseph', 'Gary Martin', 'Digory Oaks', 'Michael Scott Ryan', 'David Rasner', 'Phil Robinson', 'J.F. Rockstar', 'K.T. Vogt', 'Jack Angel']","['Phil Robinson', 'David Marshall']","['Richard Tulloch', 'Diana Young', 'Chris Fink']",117.0
11,Zatoichi's Conspiracy,1973.0,movie,"['Action', 'Drama']",7.1,911.0,['Japan'],['Japanese'],"['Shintarô Katsu', 'Yukiyo Toake', 'Eiji Okada', 'Kei Satô', 'Yoshio Tsuchiya', 'Shirô Kishibe', 'Rie Yokoyama', 'Tatsuo Endô', 'Takashi Shimura', 'Naoyuki Asahina', 'Tamotsu Fujiharu', 'Takaji Fukui', 'Takamori Gen', 'Yûji Hamada', 'Kuniko Ishii', 'Hiroshi Kanda', 'Masayoshi Kikuno', 'Goro Kumon', 'Nobue Matsuoka', 'Yuzo Miyashita', 'Tokio Oki', 'Osamu Sakai', 'Shoroku Shimada', 'Teiko Takeda', 'Yûsaku Terashima', 'Saburô Ukita', 'Mitsuo Watanabe', 'Takeshi Yabuuchi', 'Satoko Yamamura', 'Yûko Ôta']",['Kimiyoshi Yasuda'],"['Yoshi Hattori', 'Kan Shimozawa']",92.0
12,Daydream Obsession,2003.0,video movie,['Romance'],2.8,120.0,['United States'],['English'],"['Joe Dain', 'Kris Black', 'Julian Coca', 'Danny Dallas', 'Justin Hasan', 'Crystal Levine', 'Rafael', 'Will Thomas', 'Adam Wilde']",['Thomas R. Smyth'],['Scott Yarbrough'],72.0
13,TerrorVision,1986.0,movie,"['Comedy', 'Horror', 'Sci-Fi']",5.7,6778.0,"['United States', 'Italy']",['English'],"['Diane Franklin', 'Gerrit Graham', 'Mary Woronov', 'Chad Allen', 'Jon Gries', 'Bert Remsen', 'Alejandro Rey', 'Randi Brooks', 'Jennifer Richards', 'Sonny Carl Davis', 'Ian Patrick Williams', 'William Paulson', 'John Leamer']",['Ted Nicolaou'],['Ted Nicolaou'],103.0
14,The Spitfire Grill,1996.0,movie,['Drama'],7.0,6850.0,['United States'],['English'],"['Alison Elliott', 'Ellen Burstyn', 'Marcia Gay Harden', 'Will Patton', 'Kieran Mulroney', 'Gailard Sartain', 'John M. Jackson', 'Louise De Cormier', 'Ida Griesemer', 'Lincoln Grow', 'Emerson Grow', 'Sam Lloyd Sr.', 'Lisa Louise Langford', 'Forrest Murray', 'Patty Smith', 'Faith Catlin', 'Janet St. Onge', 'Jim Hogue', 'Stacy Becker', 'Cliff Levering', 'Dennis Mientka', 'Stuart Jackson', 'Monica Callan', 'Richard Addis', 'Patti Tippo', 'Ed Cook', 'Linda Cook', 'Malcolm Groome', 'Harry Johnson', 'Gracie Moore', 'Calvin Longe', 'R.W. Martin']",['Lee David Zlotoff'],['Lee David Zlotoff'],114.0
15,The Bonesetter,2003.0,video movie,"['Horror', 'Thriller']",1.6,210.0,['Canada'],['English'],"['Brett Kelly', 'Sherry Thurig', 'Anne-Marie Frigon', 'Mark Courneyea', 'Tara Rheaume', 'Josh Grace', 'Jodi Pittman', 'Beverley Brooks', 'Jody Haucke', 'Kyla Smith', 'Shann McGrail', 'Amanda Boniface', 'Steve Duncan', 'Rebecca Westwell', 'Lucia McRae', 'Rebeka Hall', 'Lloyd Kaufman', 'Lydia Klein', 'Jennifer Forbes', 'Hayden Emery', 'Arisa Cox', 'Wayne Westwell', 'Nix Cameron', 'Kody Hall', 'Ray Besharah', 'Ashley Elliott', 'Stephanie Lavergne', 'Michelle Mulligan', 'Sonia Myers', 'Thea Nikolic', 'Jodi Larratt', 'Mark Cayer']",['Brett Kelly'],['Brett Kelly'],82.0
16,Carandiru,2003.0,movie,"['Drama', 'Crime']",7.6,18930.0,"['Brazil', 'Argentina', 'Italy']",['Portuguese'],"['Luiz Carlos Vasconcelos', 'Milton Gonçalves', 'Ivan de Almeida', 'Ailton Graça', 'Maria Luísa Mendonça', 'Aida Leiner', 'Rodrigo Santoro', 'Gero Camilo', 'Lázaro Ramos', 'Caio Blat', 'Wagner Moura', 'Julia Ianina', 'Sabrina Greve', 'Floriano Peixoto', 'Ricardo Blat', 'Vanessa Gerbelli', 'Leona Cavalli', 'Milhem Cortaz', 'Dionísio Neto', 'Antônio Grassi', 'Enrique Diaz', 'Robson Nunes', 'André Ceccato', 'Bukassa Kabengele', 'Sabotage', 'Rita Cadillac', 'Adrenalina', 'André Firmino', 'Andrézinho Saracura', 'Arehy Júnior', 'Beto Vai Vai', 'Carol Brasil', 'Cláudia Wonder', 'Clemente Viscaíno', 'David Kawai', 'Eduardo Mancini', 'Fernanda', 'Gal Quaresma', 'Gustavo Trestini', 'Ildo Silva', 'Igor Moreira', 'Jorge Luiz', 'Laiza', 'Luiz Antonio Alves Jr.', 'Marcelo Escorel', 'Marcos Suchara', 'Marquinhos Jaca', 'Nando Bolognesi', 'Nicolas Trevijano', 'Oscar Magrini', ""Rappin' Hood"", 'Riba Carlovich', 'Rubens Ferreira', 'Serjão Loroza', 'Tchuck', 'Veronica', 'Zno Oliveira', 'Airton Renô', 'André Nascimento', 'Ângela Correa', 'Barão Hc', 'Celso Santos', 'Cláudio Albuquerque', 'Clerouak', 'Delurdes Moraes', 'Emboscada Edvaldo', 'Flavio Rocha', 'Gerson Marcch', 'Hébano', 'Israel Monteiro', 'Johnnye Domingos', 'José de Paiva', 'Luciano Quirino', 'Luiz Claudio Araujo', 'Marcelo Palmares', 'Marcoserra', 'Kiko Marques', 'Nego Hc', 'Nill Marcondes', 'Pacheco', 'Régis Santos', 'Ricardo Luís da Silva', 'Salete Campari', 'Silvestre Mouro', 'Valeria', 'Vera Mancini', 'Almir Barros', 'Amanda', 'Angelo Brandini', 'Barreto Leopoldo', 'Caio Cesar', 'Celso Sim', 'Claudio Ferreira', 'Coke', 'Drago', 'Evandro Dantas', 'Francisco Calderon', 'Guido Campos Correia', 'Heraldo Firmino', 'Ivan Antônio', 'Jonas Sertório', 'Kaio Pezzutti', ""Luis D'Angelo"", 'Magnata', 'Marcelona', 'Mardon Franco', 'Max Um', 'Neon Danuta', 'Nivaldo Todaro', 'Paulo Ribeiro', 'Rejane Arruda', 'Roberto Audio', 'Sandro Rodrigues', 'Sílvio Roberto', 'Val Pires', 'Victor Bianchini', 'Allan Santos', 'Andressa', 'Antônio de Andrade', 'Bernardete Alves', 'Cida Rodrigues', 'Cleide Eunice Queiroz', 'Dani Hu', 'Edson Rocha', 'Fabio Ock', 'Franklin Albuquerque', 'Guilherme Nicásio', 'Hudson Galtieri', 'Ivan Capúa', 'Jorge Luiz Leão', 'Kiko Dinucci', 'Luis Miranda', 'Luiz Antonio Alves', 'Marcelo Bombinha', 'Marcos Azevedo', 'Mikimba', 'Ney Mesquita', 'Orides Vicente', 'Pedro Vieira', 'Renata', 'Robson Luiz', 'Sapo', 'Taroba', 'Walter Breda', 'Maria Gal', 'Daniel Torres', 'João Angello Vieira', 'Gabriel Braga Nunes', 'Carlos Miola', 'Dráuzio Varella']",['Hector Babenco'],"['Hector Babenco', 'Fernando Bonassi', 'Victor Navas']",105.0
17,DragonHeart,1996.0,movie,"['Action', 'Adventure', 'Fantasy']",6.5,94804.0,['United States'],['English'],"['Dennis Quaid', 'David Thewlis', 'Pete Postlethwaite', 'Dina Meyer', 'Jason Isaacs', 'Brian Thompson', 'Lee Oakes', 'Wolf Christian', ""Terry O'Neill"", 'Peter Hric', 'Eva Vejmelková', 'Milan Bahúl', 'Sandra Kovacicova', 'Kyle Cohen', 'Thom Baker', 'Julie Christie', 'Sean Connery', 'John Gielgud', 'Buddy Quaid']",['Rob Cohen'],"['Patrick Read Johnson', 'Charles Edward Pogue', 'Charles Edward Pogue']",97.0
18,Sex and the Beauties,2004.0,movie,"['Comedy', 'Romance']",4.8,166.0,['Hong Kong'],['Cantonese'],"['Hin-Wai Au', 'Kenny Bee', 'Yat Ning Chan', 'Edison Chen', 'Pei-Pei Cheng', 'Cecilia Cheung', 'Pinky Cheung', 'Athena Chu', 'Andy Chi-On Hui', 'Shiu Hung Hui', 'Philip Keung', 'Carina Lau', 'Kin-Yan Lee', 'Zuki Lee', 'Tony Ka Fai Leung', 'YoYo Mung', 'Wai-Hong Or', 'Hoi-Yan Tam', 'Meme Tian', 'Kan-Wing Tsang', 'Tian-Lin Wang', 'Quinton Wong']",['Jing Wong'],['Jing Wong'],118.0
19,The Libertine,2004.0,movie,"['Biography', 'Drama', 'History', 'Romance']",6.3,35678.0,"['United Kingdom', 'Australia']",['English'],"['Johnny Depp', 'Paul Ritter', 'John Malkovich', 'Stanley Townsend', 'Francesca Annis', 'Rosamund Pike', 'Tom Hollander', 'Johnny Vegas', 'Richard Coyle', 'Tom Burke', 'Hugh Sachs', 'Rupert Friend', 'Kelly Reilly', 'Jack Davenport', 'Trudi Jackson', 'Samantha Morton', 'Clare Higgins', 'Freddie Jones', 'Robert Wilfort', 'Jake Curran', 'Paul Chahidi', 'Kevin Doyle', 'Morgan Walters', 'Niall Buggy', 'Peter Howell', 'T.P. McKenna', 'Maimie McCoy', 'Richard Cotton', 'Penny Layden', 'Olivia Higginbottom', 'Amy Darcy', 'Cara Horgan', 'Graham Hughes', 'Liam McKenna', 'Habib Nasib Nader', 'Laurence Spellman', 'Robert Sterne', 'Katie Beale', 'Anna Serena Bindra', 'Fleur Davidson', 'Natascha Falter', 'Hannah Gould', 'Alice Hutcheson', 'Harriette Quarrie', 'Susie Valerio', 'Louisa Bawden', 'Sacha Bennett', 'Amanda Girvan', 'Shane MacGowan', 'Davo McConville', 'Charlotte Amelia Miles', 'Monroe Robertson']",['Laurence Dunmore'],"['Stephen Jeffreys', 'Stephen Jeffreys']",24.0
20,Ricky Martin: One Night Only,1999.0,tv movie,"['Documentary', 'Music']",7.4,112.0,['United States'],['English'],"['Ricky Martin', 'José Feliciano', 'Fabiola Hesslein', 'Carlos Santana']",['Bruce Gowers'],['Ken Ehrlich'],92.0
21,Barbarian Queen,1985.0,movie,"['Adventure', 'Fantasy']",4.1,2370.0,"['United States', 'Argentina']",['English'],"['Lana Clarkson', 'Katt Shea', 'Frank Zagarino', 'Dawn Dunlap', 'Susana Traverso', 'Victor Bo', 'Armando Capo', 'Andrea Barbieri', 'Tony Middleton', 'Andrea Scriven', 'Roberto Catarineu', 'Matilde Mur', 'Eddie Pequenino', 'Patrick Duggan', 'Lucy Tiller', 'Ivan Grey', 'Theodore McNabney', 'Ricardo Jordán', 'John Head', 'Daniel Seville', 'Eva Adanaylo', 'Enrique Fynn Sastre', 'Grace Castle', 'Luis Alday', 'Norman Friedman', 'Alexander Essex', 'Daniel Ripari', 'Alfredo Alesandrini', 'Arturo Noal', 'Marcos Woinsky']",['Héctor Olivera'],['Howard R. Cohen'],25.0
22,Vampire Journals,1997.0,video movie,"['Fantasy', 'Horror']",5.5,1550.0,"['Romania', 'United States']",['English'],"['Jonathon Morris', 'David Gunn', 'Kirsten Cerre', 'Starr Andreeff', 'Ilinca Goia', 'Constantin Barbulescu', 'Mihai Dinvale', 'Dan Condurache', 'Mihai Niculescu', 'Petre Moraru', 'Rodica Lupu', 'Floriela Grappini', 'Diana Lupan', 'Maria Dimitrache-Caraman', 'Elvira Deatcu', 'Liliana Popovici', 'Alice Balaianu', 'Crina Matei', 'Cristina Oancea', 'Lucia Burcovischi', 'Oana Florea', 'Cosmin Sofron', 'Alexandru Itcus', 'Florin Irimia', 'Constantin Draganescu', 'Florinel Piersic', 'Cristian Motiu', 'Bogdan Voda', 'Liviu Craciun', 'Mihaela Mihai', 'Antonella Zaharia', 'Freddy Onofrei', 'Gabi Andronache', 'Tatiana Sorbala', 'Mihaela Bilisica', 'Anca Marcu', 'Luminita Pusca', 'Michael Denish', 'Gelu Nitu']",['Ted Nicolaou'],['Ted Nicolaou'],99.98411297440424
23,Maya Lin: A Strong Clear Vision,1994.0,movie,"['Documentary', 'Biography']",7.4,481.0,['United States'],['English'],['Maya Lin'],['Freida Lee Mock'],['Freida Lee Mock'],99.98411297440424
24,"At Home Among Strangers, a Stranger Among His Own",1974.0,movie,"['Action', 'Adventure', 'Drama', 'War', 'Western']",7.5,2968.0,['Soviet Union'],['Russian'],"['Yuriy Bogatyryov', 'Anatoliy Solonitsyn', 'Sergey Shakurov', 'Aleksandr Porokhovshchikov', 'Nikolai Pastukhov', 'Aleksandr Kaydanovskiy', 'Nikita Mikhalkov', 'Nikolay Zasukhin', 'Aleksandr Kalyagin', 'Konstantin Raykin', 'Aleksandr Adabashyan', 'Anatoli Borisov', 'Alina Budnikova', 'Mikhail Chigaryov', 'G. Doveyko', 'Sergey Frolov', 'Boris Galkin', 'A. Geller', 'Aleksandr Gradskiy', 'Vladimir Grudnev', 'V. Izaidayev', 'Mikhail Kislov', 'Vitaliy Komissarov', 'Ye. Kozhokhin', 'Gennadi Krasheninnikov', 'Nataliya Kugel', 'Yuriy Kuznetsov', 'Igor Kvasha', 'Pavel Lebeshev', 'Galina Mikeladze', 'Tatyana Mikhalkova', 'Ye. Mokhova', 'V. Monashin', 'V. Nikiforovsky', 'K. Orlov', 'Oleg Panov', 'Kh. Rasayev', 'O. Savchenko', 'Yekaterina Shadrina', 'M. Tamayev', 'V. Tatarashvili', 'Vladimir Tochilin', 'Vadim Vilskiy', 'Aleksandr Yakovlev', 'G. Zverev', 'Viktor Shcherbakov']",['Nikita Mikhalkov'],"['Nikita Mikhalkov', 'Eduard Volodarskiy']",99.0
25,6ixtynin9,1999.0,movie,"['Comedy', 'Crime', 'Thriller']",7.2,2040.0,['Thailand'],['Thai'],"['Lalita Panyopas', 'Sirisin Siripornsmathikul', 'Prompop Lee', 'Surapong Mekpongsathorn', 'Tasanawalai Ongartittichai', ""Jaran 'See Tao' Petcharoen"", 'Black Phomtong', 'Arun Wannarbodeewong', 'Cheathavuth Watcharakhun']",['Pen-Ek Ratanaruang'],['Pen-Ek Ratanaruang'],96.0
26,Iron Monkey 2,1996.0,movie,['Action'],4.7,726.0,"['Hong Kong', 'Taiwan', 'China']","['Mandarin', 'Cantonese']","['Donnie Yen', 'Billy Chow', 'Wu Ma', 'Steve Benson', 'Richard Cansino', 'Jian-li Chang', 'Cam Clarke', 'Lara Cody', 'Peter Doyle', 'Ron Edwars', 'Keith Ferguson', 'Graeme Ford', 'Jessica Gee-George', 'Grant George', 'Huansong Han', 'Zhourong He', 'Bridget Hoffman', 'Bob Joles', 'Tom Konkle', 'Jim Lau', 'Hai-Hsing Li', 'Ying Li', 'Will Liu', 'Liana Maeby', 'Dean Scofield', 'Michael Sorich', 'Steve Staley', 'Fred Tatasciore', 'Wenqing Yuan', 'Rik Thomas', 'Pierre Tremblay']","['Lu Chiang Chao', 'Lan Jing']","['Man Choi Lee', 'Daoyuan Qian']",110.0
